stock_id,stock_symbol,stock_name,stock_price,stock_marketcap,stock_sector
38,DLTR,"Dollar Tree, Inc.","€410,89",$16.58B,Consumer Services
39,RGR,"Sturm, Ruger & Company, Inc.","€939,02",$1.2B,Capital Goods
40,TCRX,"THL Credit, Inc.","€381,70",n/a,n/a
41,VIRC,Virco Manufacturing Corporation,"€253,53",$70.59M,Consumer Durables
42,AEHR,Aehr Test Systems,"€736,02",$79.32M,Capital Goods
43,MSTR,MicroStrategy Incorporated,"€238,31",$2.09B,Technology
44,HRMNU,Harmony Merger Corp.,"€683,70",n/a,Public Utilities
45,BOXC,Brookfield Canada Office Properties,"€977,86",$649.98M,Consumer Services
46,JPM^D,J P Morgan Chase & Co,"€12,82",n/a,n/a
47,VER,VEREIT Inc.,"€738,86",$8.15B,Consumer Services
48,LBIX,Leading Brands Inc,"€999,07",$5.24M,Consumer Non-Durables
49,MIIIU,M III Acquisition Corp.,"€780,53",n/a,Finance
50,FRA,Blackrock Floating Rate Income Strategies Fund Inc,"€480,27",$526.1M,n/a
51,CRTN,"Cartesian, Inc.","€909,70",$5.76M,Consumer Services
52,MDR,"McDermott International, Inc.","€166,06",$1.78B,Capital Goods
53,GBNK,Guaranty Bancorp,"€533,49",$745.32M,Finance
54,AFST,"AmTrust Financial Services, Inc.","€255,48",n/a,Finance
55,ANFI,Amira Nature Foods Ltd,"€110,99",$141.43M,Consumer Non-Durables
56,SBLKL,Star Bulk Carriers Corp.,"€468,51",n/a,Transportation
57,FNK,First Trust Mid Cap Value AlphaDEX Fund,"€852,11",$54.66M,n/a
58,FSAM,Fifth Street Asset Management Inc.,"€845,65",$172.02M,Finance
59,INVE,"Identiv, Inc.","€423,89",$59.21M,Technology
60,FCB,"FCB Financial Holdings, Inc.","€245,45",$2.01B,Finance
61,CIM^A,Chimera Investment Corporation,"€818,62",n/a,n/a
62,SSP,E.W. Scripps Company (The),"€40,43",$1.53B,Consumer Services
63,AMCX,AMC Networks Inc.,"€618,50",$3.72B,Consumer Services
64,TCCB,Triangle Capital Corporation,"€366,07",n/a,n/a
65,ST,Sensata Technologies Holding N.V.,"€725,94",$7.21B,Capital Goods
66,CASI,"CASI Pharmaceuticals, Inc.","€540,09",$55.38M,Health Care
67,JBN,Select Asset Inc.,"€913,92",n/a,Finance
68,SGBK,Stonegate Bank,"€892,07",$667.73M,n/a
69,BASI,"Bioanalytical Systems, Inc.","€241,51",$13.02M,Health Care
70,AMGN,Amgen Inc.,"€10,44",$119.44B,Health Care
71,EQBK,"Equity Bancshares, Inc.","€870,62",$386.51M,Finance
72,PGH,Pengrowth Energy Corporation,"€676,97",$449.92M,Energy
73,I,Intelsat S.A.,"€67,77",$378.97M,Consumer Services
74,RMCF,"Rocky Mountain Chocolate Factory, Inc.","€107,84",$68.38M,Consumer Non-Durables
75,PACB,"Pacific Biosciences of California, Inc.","€626,69",$316.2M,Capital Goods
76,ABY,Atlantica Yield plc,"€774,16",$2.05B,Public Utilities
77,CXW,"CoreCivic, Inc.","€782,79",$3.31B,Consumer Services
78,FSFG,"First Savings Financial Group, Inc.","€924,21",$116.61M,Finance
79,SMP,"Standard Motor Products, Inc.","€912,46",$1.15B,Capital Goods
80,FRA,Blackrock Floating Rate Income Strategies Fund Inc,"€198,08",$526.1M,n/a
81,JSM,Navient Corporation,"€529,29",n/a,Finance
82,VIAB,Viacom Inc.,"€422,96",$12.19B,Consumer Services
83,PRU,"Prudential Financial, Inc.","€664,42",$46.21B,Finance
84,WBS,Webster Financial Corporation,"€607,97",$4.88B,Finance
85,IRIX,IRIDEX Corporation,"€882,10",$104.02M,Health Care
86,RELL,"Richardson Electronics, Ltd.","€547,70",$75.94M,Consumer Non-Durables
87,PMT,PennyMac Mortgage Investment Trust,"€895,40",$1.19B,Consumer Services
88,CREE,"Cree, Inc.","€961,47",$2.35B,Technology
89,FARO,"FARO Technologies, Inc.","€132,08",$599.24M,Capital Goods
90,FMO,Fiduciary/Claymore MLP Opportunity Fund,"€511,26",$446.85M,n/a
91,ELON,Echelon Corporation,"€510,38",$24.7M,Technology
92,LINDW,Lindblad Expeditions Holdings Inc. ,"€669,43",n/a,Consumer Services
93,OACQW,Origo Acquisition Corporation,"€357,24",n/a,Finance
94,QTNA,"Quantenna Communications, Inc.","€574,24",$650.38M,Technology
95,AERI,"Aerie Pharmaceuticals, Inc.","€856,34",$1.8B,Health Care
96,SUNW,"Sunworks, Inc.","€189,41",$34.78M,Public Utilities
97,UVSP,Univest Corporation of Pennsylvania,"€229,82",$793.18M,Finance
98,TRST,TrustCo Bank Corp NY,"€943,85",$748.78M,Finance
99,SCCO,Southern Copper Corporation,"€809,47",$26.62B,Basic Industries
100,BYM,Blackrock Municipal Income Quality Trust,"€901,56",$379.99M,n/a
101,BOFIL,"BofI Holding, Inc.","€733,54",n/a,Finance
102,ADMA,ADMA Biologics Inc,"€199,09",$39.24M,Health Care
103,MCRN,Milacron Holdings Corp.,"€357,47",$1.32B,Technology
104,PBBI,"PB Bancorp, Inc.","€525,64",$81.84M,Finance
105,TREC,Trecora Resources,"€195,22",$276.48M,Energy
106,SKLN,Skyline Medical Inc.,"€654,21",$9.9M,Health Care
107,FMX,Fomento Economico Mexicano S.A.B. de C.V.,"€102,09",$34.81B,Consumer Non-Durables
108,WRB^B,W.R. Berkley Corporation,"€502,64",n/a,n/a
109,MTZ,"MasTec, Inc.","€663,01",$3.69B,Basic Industries
110,BSX,Boston Scientific Corporation,"€214,15",$38B,Health Care
111,DQ,DAQO New Energy Corp.,"€146,95",$208.28M,Technology
112,FMCIW,Forum Merger Corporation,"€334,30",n/a,Finance
113,AFA,"American Financial Group, Inc.","€662,26",n/a,Finance
114,BML^H,Bank of America Corporation,"€762,10",n/a,n/a
115,LW,"Lamb Weston Holdings, Inc.","€436,80",$6.58B,Consumer Non-Durables
116,ATHM,Autohome Inc.,"€676,97",$5.07B,Technology
117,DZSI,"DASAN Zhone Solutions, Inc.","€154,66",$19.42M,Public Utilities
118,ASRVP,AmeriServ Financial Inc.,"€373,59",n/a,Finance
119,STDY,SteadyMed Ltd.,"€122,18",$174.94M,Health Care
120,SSW,Seaspan Corporation,"€66,41",$649.92M,Transportation
121,FCEL,"FuelCell Energy, Inc.","€327,97",$65.53M,Miscellaneous
122,CHSCM,CHS Inc,"€747,44",$542.67M,Consumer Services
123,MAC,Macerich Company (The),"€873,71",$8.19B,Consumer Services
124,PYN,PIMCO New York Municipal Income Fund III,"€567,11",$56.31M,n/a
125,MOV,Movado Group Inc.,"€247,25",$512.47M,Consumer Non-Durables
126,PLUS,ePlus inc.,"€477,46",$1.05B,Technology
127,HSGX,Histogenics Corporation,"€644,28",$35.47M,Health Care
128,NRZ,New Residential Investment Corp.,"€490,10",$5.14B,Consumer Services
129,POOL,Pool Corporation,"€343,95",$5.02B,Consumer Durables
130,TWNK,"Hostess Brands, Inc.","€424,46",$2.09B,Consumer Non-Durables
131,TG,Tredegar Corporation,"€874,02",$518.61M,Capital Goods
132,RIBT,RiceBran Technologies,"€38,26",$9.62M,Consumer Non-Durables
133,AOI,"Alliance One International, Inc.","€561,59",$134.83M,Consumer Services
134,RPM,RPM International Inc.,"€997,52",$7.43B,Basic Industries
135,KTOS,"Kratos Defense & Security Solutions, Inc.","€55,51",$931.89M,Capital Goods
136,PSC,Principal U.S. Small Cap Index ETF,"€617,56",$277.12M,n/a
137,RXII,RXi Pharmaceuticals Corporation,"€107,21",$12.79M,Health Care
138,PNC^Q,"PNC Financial Services Group, Inc. (The)","€223,57",n/a,n/a
139,PTEN,"Patterson-UTI Energy, Inc.","€53,32",$4.33B,Energy
140,TSO,Tesoro Corporation,"€545,01",$14.78B,Energy
141,GPIAW,GP Investments Acquisition Corp.,"€437,83",n/a,Consumer Durables
142,CENX,Century Aluminum Company,"€705,43",$1.25B,Basic Industries
143,PCI,PIMCO Dynamic Credit and Mortgage Income Fund,"€889,31",$3.02B,n/a
144,STFC,State Auto Financial Corporation,"€746,20",$1.09B,Finance
145,RCL,Royal Caribbean Cruises Ltd.,"€844,31",$24.07B,Consumer Services
146,WES,"Western Gas Partners, LP","€289,02",$8.39B,Public Utilities
147,PRN,PowerShares DWA Industrials Momentum Portfolio,"€927,43",$121.11M,n/a
148,NESR,National Energy Services Reunited Corp.,"€985,19",n/a,Finance
149,WHLRP,"Wheeler Real Estate Investment Trust, Inc.","€420,68",$16.13M,Consumer Services
150,RMBS,"Rambus, Inc.","€538,20",$1.32B,Technology
151,MXE,"Mexico Equity and Income Fund, Inc. (The)","€166,23",$83.2M,n/a
152,ANET,"Arista Networks, Inc.","€935,65",$10.91B,Technology
153,VBF,Invesco Bond Fund,"€432,73",$221.63M,n/a
154,QCRH,"QCR Holdings, Inc.","€538,17",$629.54M,Finance
155,AMAG,"AMAG Pharmaceuticals, Inc.","€548,01",$574.74M,Health Care
156,MFNC,Mackinac Financial Corporation,"€717,55",$85.86M,Finance
157,DL,China Distance Education Holdings Limited,"€452,77",$311.18M,Consumer Services
158,DXLG,"Destination XL Group, Inc.","€314,35",$123.86M,Consumer Services
159,ORG,The Organics ETF,"€137,81",n/a,n/a
160,SANM,Sanmina Corporation,"€260,58",$2.83B,Technology
161,VSH,"Vishay Intertechnology, Inc.","€122,60",$2.42B,Capital Goods
162,RDNT,"RadNet, Inc.","€648,63",$358.85M,Health Care
163,ENZL,iShares MSCI New Zealand Capped ETF,"€576,10",$164.61M,n/a
164,DVN,Devon Energy Corporation,"€995,28",$16.7B,Energy
165,AHPA,Avista Healthcare Public Acquisition Corp.,"€465,39",$380.14M,Finance
166,LDR,"Landauer, Inc.","€619,73",$513.32M,Capital Goods
167,TPL,Texas Pacific Land Trust,"€78,59",$2.41B,Energy
168,XGTI,"XG Technology, Inc","€786,49",$21.96M,Consumer Durables
169,SSRI,Silver Standard Resources Inc.,"€515,01",$1.1B,Basic Industries
170,FNV,Franco-Nevada Corporation,"€78,66",$12.86B,Basic Industries
171,EXAS,Exact Sciences Corporation,"€578,09",$3.59B,Health Care
172,TWI,"Titan International, Inc.","€418,43",$698.59M,Basic Industries
173,RSPP,"RSP Permian, Inc.","€715,57",$4.84B,Energy
174,INVE,"Identiv, Inc.","€29,39",$59.21M,Technology
175,FTI,TechnipFMC plc,"€10,50",$12.87B,Energy
176,IMPV,"Imperva, Inc.","€925,77",$1.61B,Technology
177,CELP,"Cypress Energy Partners, L.P.","€895,78",$84.93M,Energy
178,DS^D,Drive Shack Inc.,"€934,24",n/a,n/a
179,SRG,Seritage Growth Properties,"€840,93",$2.34B,Finance
180,RIBTW,RiceBran Technologies,"€394,76",n/a,Consumer Non-Durables
181,PNM,"PNM Resources, Inc. (Holding Co.)","€883,46",$3.17B,Public Utilities
182,FAST,Fastenal Company,"€105,58",$12.84B,Consumer Services
183,EGBN,"Eagle Bancorp, Inc.","€131,94",$2.16B,Finance
184,AFSS,"AmTrust Financial Services, Inc.","€880,63",n/a,Finance
185,EMCF,Emclaire Financial Corp,"€559,68",$59.2M,Finance
186,TNK,Teekay Tankers Ltd.,"€587,68",$311.8M,Consumer Services
187,NEWM,New Media Investment Group Inc.,"€144,28",$724.86M,Consumer Services
188,MET^A,"MetLife, Inc.","€298,06",n/a,n/a
189,FSTR,L.B. Foster Company,"€216,06",$202.5M,Basic Industries
190,PRAA,"PRA Group, Inc.","€379,67",$1.67B,Finance
191,ABAX,"ABAXIS, Inc.","€465,32",$1.15B,Capital Goods
192,CIL,VictoryShares International Volatility Wtd ETF,"€895,57",n/a,n/a
193,HPT,Hospitality Properties Trust,"€78,78",$5.04B,Consumer Services
194,AOSL,Alpha and Omega Semiconductor Limited,"€94,94",$420.14M,Technology
195,NAV^D,Navistar International Corporation,"€740,44",n/a,Capital Goods
196,SFBS,"ServisFirst Bancshares, Inc.","€849,65",$1.96B,Finance
197,HNP,"Huaneng Power International, Inc.","€37,96",$11.05B,Public Utilities
198,ACFC,Atlantic Coast Financial Corporation,"€744,15",$119.14M,Finance
199,CHUBK,"CommerceHub, Inc.","€21,74",$733.08M,Technology
200,TY,Tri Continental Corporation,"€335,74",$1.37B,n/a
